t[s],HighestCellTemperature[DegC]
160.977724,25.4
161.077404,25.4
161.177371,25.4
161.277388,25.4
161.377683,25.4
161.477649,25.4
161.577661,25.4
161.677666,25.4
161.77764,25.4
161.877646,25.4
161.977688,25.4
162.077435,25.4
162.177249,25.4
162.277248,25.4
162.377569,25.4
162.477552,25.4
162.577572,25.4
162.677566,25.4
162.777555,25.4
162.877845,25.4
162.977854,25.4
163.07813,25.4
163.177786,25.4
163.278307,25.4
163.37749,25.4
163.477511,25.4
163.5775,25.4
163.677505,25.4
163.777512,25.4
163.877588,25.4
163.977588,25.4
164.078194,25.4
164.178241,25.4
164.278286,25.4
164.377537,25.4
164.477551,25.4
164.577534,25.4
164.677557,25.4
164.777542,25.4
164.877752,25.4
164.977755,25.4
165.078363,25.4
165.178357,25.4
165.278338,25.4
165.377582,25.4
165.477569,25.4
165.577589,25.4
165.677598,25.4
165.777618,25.4
165.877848,25.4
165.977869,25.4
166.077457,25.4
166.177468,25.4
166.277481,25.4
166.377634,25.4
166.47766,25.4
166.577625,25.4
166.677646,25.4
166.777653,25.4
166.877973,25.4
166.977862,25.4
167.078098,25.4
167.17771,25.4
167.277705,25.4
167.377694,25.4
167.477681,25.4
167.577674,25.4
167.677652,25.4
167.777697,25.4
167.8776,25.4
167.977601,25.4
168.078267,25.4
168.177526,25.4
168.278125,25.4
168.377968,25.4
168.477959,25.4
168.57796,25.4
168.677964,25.4
168.777964,25.4
168.878192,25.4
168.97825,25.4
169.078419,25.4
169.178455,25.4
169.278425,25.4
169.37863,25.4
169.478628,25.4
169.578668,25.4
169.678661,25.4
169.778675,25.4
169.878535,25.4
169.978546,25.4
170.078134,25.4
170.178104,25.4
170.278096,25.4
170.378409,25.4
170.478401,25.4
170.578421,25.4
170.678441,25.4
170.778422,25.4
170.877764,25.4
170.977776,25.4
171.078374,25.4
171.178365,25.4
171.278402,25.4
171.378686,25.4
171.478642,25.4
171.578212,25.4
171.67823,25.4
171.778232,25.4
171.87823,25.4
171.978212,25.4
172.078214,25.4
172.178234,25.4
172.278208,25.4
172.377725,25.4
172.477736,25.4
172.57773,25.4
172.677716,25.4
172.777724,25.4
172.877728,25.4
172.977732,25.4
173.078236,25.4
173.178227,25.4
173.278225,25.4
173.378235,25.4
173.478209,25.4
173.57821,25.4
173.678229,25.4
173.778234,25.4
173.878236,25.4
173.977733,25.4
174.077722,25.4
174.177722,25.4
174.277728,25.4
174.37772,25.4
174.477752,25.4
174.578261,25.4
174.678237,25.4
174.778228,25.4
174.878212,25.4
174.978245,25.4
175.078228,25.4
175.178237,25.4
175.278234,25.4
175.378228,25.4
175.47823,25.4
175.578209,25.4
175.678207,25.4
175.778191,25.4
175.877753,25.4
175.977745,25.4
176.077752,25.4
176.177752,25.4
176.278234,25.4
176.378236,25.4
176.478208,25.4
176.578234,25.4
176.678233,25.4
176.778231,25.4
176.878232,25.4
176.978207,25.4
177.078199,25.4
177.178212,25.4
177.278212,25.4
177.378208,25.4
177.478207,25.4
177.578228,25.4
177.678207,25.4
177.778219,25.4
177.878248,25.4
177.978223,25.4
178.078213,25.4
178.178231,25.4
178.278246,25.4
178.37823,25.4
178.47822,25.4
178.578238,25.4
178.678215,25.4
178.778213,25.4
178.878207,25.4
178.978222,25.4
179.078229,25.4
179.178206,25.4
179.2782,25.4
179.378218,25.4
179.478226,25.4
179.578218,25.4
179.678231,25.4
179.778221,25.4
179.878217,25.4
179.978252,25.4
180.078225,25.4
180.17819,25.4
180.278211,25.4
180.378212,25.4
180.478206,25.4
180.578211,25.4
180.678211,25.4
180.778219,25.4
180.878211,25.4
180.978252,25.4
181.078242,25.4
181.178262,25.4
181.278226,25.4
181.378235,25.4
181.478272,25.4
181.578245,25.4
181.678205,25.4
181.778233,25.4
181.87824,25.4
181.978212,25.4
182.078226,25.4
182.178207,25.4
182.278188,25.4
182.378219,25.4
182.478244,25.4
182.578218,25.4
182.678218,25.4
182.778247,25.4
182.878216,25.4
182.97824,25.4
183.078221,25.4
183.178234,25.4
183.278224,25.4
183.378224,25.4
183.47822,25.4
183.578221,25.4
183.678202,25.4
183.778735,25.4
183.878733,25.4
183.978731,25.4
184.078222,25.4
184.178218,25.4
184.278225,25.4
184.378199,25.4
184.478223,25.4
184.578226,25.4
184.678276,25.4
184.778223,25.4
184.878221,25.4
184.978221,25.4
185.078204,25.4
185.178228,25.4
185.278839,25.4
185.378721,25.4
185.478253,25.4
185.579272,25.4
185.679239,25.4
185.779267,25.4
185.878504,25.4
185.978504,25.4
186.079034,25.4
186.179035,25.4
186.279027,25.4
186.378294,25.4
186.478479,25.4
186.578428,25.4
186.678439,25.4
186.778455,25.4
186.878656,25.4
186.979006,25.4
187.079077,25.4
187.178465,25.4
187.278486,25.4
187.378715,25.4
187.478396,25.4
187.578405,25.4
187.678386,25.4
187.778446,25.4
187.878702,25.4
187.978684,25.4
188.079265,25.4
188.178544,25.4
188.278715,25.4
188.378952,25.4
188.479048,25.4
188.579039,25.4
188.679049,25.4
188.77908,25.4
188.878351,25.4
188.978429,25.4
189.078971,25.4
189.178984,25.4
189.279,25.4
189.379317,25.4
189.478864,25.4
189.578879,25.4
189.678876,25.4
189.778897,25.4
189.87908,25.4
189.979116,25.4
190.078728,25.4
190.178727,25.4
190.278742,25.4
190.379078,25.4
190.479204,25.4
190.579224,25.4
190.679236,25.4
190.779242,25.4
190.879142,25.4
190.979183,25.4
191.078745,25.4
191.178776,25.4
191.278786,25.4
191.379021,25.4
191.478827,25.4
191.578828,25.4
191.678816,25.4
191.778853,25.4
191.879014,25.4
191.978716,25.4
192.079021,25.4
192.179512,25.4
192.278576,25.4
192.378808,25.4
192.479323,25.4
192.579382,25.4
192.679372,25.4
192.779323,25.4
192.878534,25.4
192.978522,25.4
193.079168,25.4
193.178488,25.4
193.278519,25.4
193.379282,25.4
193.479249,25.4
193.5793,25.4
193.679261,25.4
193.779278,25.4
193.879456,25.4
193.97946,25.4
194.079076,25.4
194.179106,25.4
194.279092,25.4
194.379327,25.4
194.479369,25.4
194.579342,25.4
194.679336,25.4
194.779358,25.4
194.879492,25.4
194.979547,25.4
195.079164,25.4
195.179138,25.4
195.279144,25.4
195.379736,25.4
195.479716,25.4
195.579768,25.4
195.678735,25.4
195.77874,25.4
195.879026,25.4
195.979033,25.4
196.079178,25.4
196.179183,25.4
196.279186,25.4
196.378956,25.4
196.478924,25.4
196.578926,25.4
196.678935,25.4
196.778925,25.4
196.879294,25.4
196.979733,25.4
197.07941,25.4
197.179388,25.4
197.27937,25.4
197.378716,25.4
197.478696,25.4
197.578723,25.4
197.678707,25.4
197.779718,25.4
197.878808,25.4
197.97878,25.4
198.07944,25.4
198.178819,25.4
198.279814,25.4
198.379061,25.4
198.47907,25.4
198.579086,25.4
198.679065,25.4
198.779126,25.4
198.879403,25.4
198.979332,25.4
199.078963,25.4
199.178974,25.4
199.27896,25.4
199.379182,25.4
199.479215,25.4
199.579218,25.4
199.679217,25.4
199.779186,25.4
199.879143,25.4
199.979158,25.4
200.079755,25.4
200.179797,25.4
200.279794,25.4
200.379048,25.4
200.479657,25.4
200.579694,25.4
200.679676,25.4
200.779646,25.4
200.878906,25.4
200.978883,25.4
201.079488,25.4
201.179488,25.4
201.279494,25.4
201.379608,25.4
201.479616,25.4
201.579587,25.4
201.679586,25.4
201.779642,25.4
201.878949,25.4
201.979168,25.4
202.079504,25.4
202.179433,25.4
202.279439,25.4
202.379754,25.4
202.479728,25.4
202.579747,25.4
202.679328,25.4
202.779723,25.4
202.879012,25.4
202.979013,25.4
203.07966,25.4
203.179846,25.4
203.279136,25.4
203.379329,25.4
203.479331,25.4
203.579318,25.4
203.679348,25.4
203.779332,25.4
203.879584,25.4
203.979596,25.4
204.079791,25.4
204.179815,25.4
204.279846,25.4
204.380007,25.4
204.480016,25.4
204.579984,25.4
204.679011,25.4
204.779005,25.4
204.879893,25.4
204.978905,25.4
205.079451,25.4
205.179444,25.4
205.279467,25.4
205.379713,25.4
205.479686,25.4
205.579724,25.4
205.679723,25.4
205.779711,25.4
205.879996,25.4
205.97996,25.4
206.079598,25.4
206.179604,25.4
206.279599,25.4
206.379781,25.4
206.479748,25.4
206.579743,25.4
206.679763,25.4
206.779777,25.4
206.879691,25.4
206.97928,25.4
207.079513,25.4
207.179416,25.4
207.279427,25.4
207.379746,25.4
207.47973,25.4
207.579728,25.4
207.679744,25.4
207.779769,25.4
207.880067,25.4
207.980063,25.4
208.079719,25.4
208.179694,25.4
208.27927,25.4
208.379951,25.4
208.479914,25.4
208.579966,25.4
208.679975,25.4
208.779947,25.4
208.879276,25.4
208.979262,25.4
209.079947,25.4
209.179944,25.4
209.279885,25.4
209.379218,25.4
209.479206,25.4
209.579204,25.4
209.67923,25.4
209.779203,25.4
209.879488,25.4
209.979532,25.4
210.080173,25.4
210.180159,25.4
210.27985,25.4
210.380134,25.4
210.480169,25.4
210.580151,25.4
210.679725,25.4
210.779192,25.4
210.879216,25.4
210.979218,25.4
211.079222,25.4
211.179209,25.4
211.279237,25.4
211.379212,25.4
211.47921,25.4
211.579706,25.4
211.6797,25.4
211.779702,25.4
211.879705,25.4
211.979705,25.4
212.079709,25.4
212.179706,25.4
212.279708,25.4
212.379701,25.4
212.479704,25.4
212.579753,25.4
212.679712,25.4
212.779705,25.4
212.879243,25.4
212.979224,25.4
213.079708,25.4
213.179699,25.4
213.279701,25.4
213.379705,25.4
213.479702,25.4
213.57969,25.4
213.679702,25.4
213.779715,25.4
213.87971,25.4
213.979702,25.4
214.079725,25.4
214.179729,25.4
214.279706,25.4
214.379719,25.4
214.47971,25.4
214.579712,25.4
214.679742,25.4
214.779727,25.4
214.879718,25.4
214.97973,25.4
215.079705,25.4
